Date,Close,High,Low,Open,Volume,Ticker
,MSFT,MSFT,MSFT,MSFT,MSFT,
2023-11-20,373.2036437988281,374.6175863426899,366.83592346802067,367.053455411311,52465100,MSFT
2023-11-21,368.8826904296875,371.9973289708727,366.954565050594,371.4535142101286,28423100,MSFT
2023-11-22,373.60906982421875,375.5272979461787,370.76138971842033,373.7573802099264,23345300,MSFT
2023-11-24,373.19378662109375,373.7277342076605,370.92951089344206,373.0949029680178,10176600,MSFT
2023-11-27,374.36053466796875,376.36777927950243,371.9776106304941,372.5510875373221,22179200,MSFT
2023-11-28,378.40460205078125,378.70122279234795,373.91555038642196,374.1034202477642,20453100,MSFT
2023-11-29,374.5978088378906,379.9866201515638,373.20363100030266,379.45270281593014,28963400,MSFT
2023-11-30,374.65716552734375,375.82391411402256,371.2557732398662,374.2418662773965,30554400,MSFT
2023-12-01,370.30657958984375,373.91560663875174,367.1424837202218,372.53132601143756,33040500,MSFT
2023-12-04,364.9968566894531,365.3725662940193,358.8268727544712,364.9572971928997,32063300,MSFT
2023-12-05,368.3388671875,368.8925793974309,361.51631803473913,362.33701910752933,23065000,MSFT
2023-12-06,364.66064453125,369.9802652283336,363.8992977327105,369.3474641617025,21182100,MSFT
2023-12-07,366.7864990234375,367.28088706354185,362.208460944063,364.0970268782678,23118900,MSFT
2023-12-08,370.02972412109375,370.2571233325587,364.0970669863145,365.05618109677266,20154400,MSFT
2023-12-11,367.132568359375,367.429219306122,361.990950541345,364.3442425802933,27708800,MSFT
2023-12-12,370.17803955078125,370.21759904789997,366.30202355963434,366.68766076266786,24838300,MSFT
2023-12-13,370.1680908203125,373.4014078665919,366.6084909494342,371.7995652934086,30955500,MSFT
2023-12-14,361.8228454589844,369.5649795287377,360.0430604780347,369.1200181959737,43277500,MSFT
2023-12-15,366.5689392089844,368.22017823936244,362.16887391656695,362.7324834814476,78502300,MSFT
2023-12-18,368.4674072265625,368.813484896194,364.5419649068583,365.30334181505793,21802900,MSFT
2023-12-19,369.0705871582031,369.0705871582031,365.68895952374146,367.3204340997758,20603700,MSFT
2023-12-20,366.460205078125,371.80948757127044,366.3712188472843,370.7910493626897,26316700,MSFT
2023-12-21,369.347412109375,370.2076424400769,365.8866959536453,368.3784007227526,17708000,MSFT
2023-12-22,370.3757629394531,370.96903467399375,368.52675633726045,369.48587042516914,17107500,MSFT
2023-12-26,370.4548645019531,372.70927284710115,369.3078805824845,370.7910447615306,12673100,MSFT
2023-12-27,369.8714599609375,370.85033858302916,368.62559249642084,369.49572023830234,14905400,MSFT
2023-12-28,371.06793212890625,372.2346808060371,369.9605076099309,371.15691836613945,14327000,MSFT
2023-12-29,371.8193359375,372.92676023082794,369.2880717884507,371.7797764484386,18730800,MSFT
2024-01-02,366.7073669433594,371.68090924219496,362.653379124267,369.6637976615887,25258600,MSFT
2024-01-03,366.4404296875,369.0705777416299,364.3738912539091,364.86827930524817,23083500,MSFT
2024-01-04,363.8102722167969,368.91236039556355,363.0489255004596,366.5096417702584,20901500,MSFT
2024-01-05,363.6224365234375,367.88405940220275,362.38646631091734,364.8287446578594,21004600,MSFT
2024-01-08,370.4845275878906,370.988813066157,364.86828645661416,365.1550098059731,23134000,MSFT
2024-01-09,371.57220458984375,371.76994171839436,367.0238281824233,367.8346318821267,20830000,MSFT
2024-01-10,378.4738464355469,379.8581572234937,372.096258198453,372.14568493728495,25514200,MSFT
2024-01-11,380.31292724609375,386.2950101261023,376.1106291407019,381.66754557205917,27850800,MSFT
2024-01-12,384.10986328125,384.3174978189153,380.33273123391484,381.1632995596287,21661200,MSFT
2024-01-16,385.8896179199219,389.607425521524,383.2693674241333,389.2415832112696,27202300,MSFT
2024-01-17,385.0986328125,385.7314338319448,380.4909325183697,383.6253660644491,22234100,MSFT
2024-01-18,389.4492492675781,389.56789757510035,385.74133878224427,387.32338662433057,23392100,MSFT
2024-01-19,394.19537353515625,394.19537353515625,389.0833879187689,391.31803151810533,29331100,MSFT
2024-01-22,392.0596008300781,396.12345590728927,389.1723614900859,395.5301842429018,27016900,MSFT
2024-01-23,394.42279052734375,394.89741393072353,389.5085719753557,391.30815176623645,20525900,MSFT
2024-01-24,398.0417175292969,401.0772674984209,395.95541437351613,397.0331767370542,24867000,MSFT
2024-01-25,400.3257751464844,402.44177048645173,398.0120426913666,399.7819603610059,21021200,MSFT
2024-01-26,399.3963317871094,401.61121081981145,397.9131676038507,399.83139569486946,17803300,MSFT
2024-01-29,405.1213684082031,405.3784598651388,399.7918504359062,401.50244405119065,24510200,MSFT
2024-01-30,404.0040283203125,408.4139613345208,401.8880631298829,407.6328499314226,33477600,MSFT
2024-01-31,393.1175537109375,410.6584606889638,392.75171141437784,402.39227753473756,47871100,MSFT
2024-02-01,399.2480163574219,403.4206527472509,397.2902287972473,397.3198908735355,30657700,MSFT
2024-02-02,406.6045227050781,408.0184653335539,399.03049390369324,399.27768793699545,28256700,MSFT
2024-02-05,401.0970153808594,406.54518129966755,399.4556434483769,405.29931376867506,25352300,MSFT
2024-02-06,400.9388122558594,403.3909878537456,398.38778318773774,401.3244494199643,18382600,MSFT
2024-02-07,409.4027099609375,409.649903972549,402.8273552870818,402.8669147779537,22340500,MSFT
2024-02-08,409.4620361328125,410.89577347726316,407.89978324873107,409.40271198373665,21225300,MSFT
2024-02-09,415.8298034667969,416.09679234296146,410.43109406340193,410.5893018705596,22032800,MSFT
